사업번호,사업명,시작연도,종료연도,사업개요서링크
2025-00066,"스리랑카 시기리야 세계유산의 역사관광 자원화를 위한 복원 및 환경 개선 사업('25-'29/1,000만불)",2025,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2025-00066
2024-00144,튀니지 전자참여 확대 및 부패방지를 위한 시스템(국민신문고) 고도화 사업('24-'28/600만불),2024,2028,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00144
2024-00138,우즈베키스탄 지질재해와 지질자원 통합관리시스템 구축사업('24-'29/700만불),2024,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00138
2024-00133,"몽골 날라흐구 폐광산지역 지속가능한 생태환경 조성을 통한 녹색 산업 혁신 생태계 구축사업('24-'29/1,000만불)",2024,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00133
2024-00115,"키르기스스탄 그린모빌리티 실현을 위한 공공기관 전기차 전환사업 ('24-'27/1,100만불)",2024,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00115
2024-00105,키르기스스탄 디지털 전환을 위한 국가 정보화 역량 강화 사업('24-'27/700만불),2024,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00105
2024-00096,네팔 버르디야 지역 포용적 농촌공동체 개발사업('24-'29/800만불),2024,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00096
2024-00089,DR콩고 북카탕가주 감염병 감시 역량 강화사업('24-'27/600만불),2024,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00089
2024-00053,네팔 Province4 직업교육학교 건립사업('24-'30/900만불),2024,2030,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00053
2024-00029,"코트디부아르 지역균형발전을 위한 중부지역 직업전문학교 역량강화사업('24-'29/1,100만불)",2024,2029,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00029
2024-00019,세네갈 중부지역 모자보건체계 강화사업 2단계('24-'28/1250만불),2024,2028,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2024-00019
